,year,cost_buy,cost_ins,cost_mnt,cost_fuel,cost_sell
0,2023,26192010,1309600.5,261920.1,2872519.1789911008,0.0
1,2024,414340,1592237.5999999999,789903.7,2922370.099333112,0.0
2,2025,513619,1883982.05,1327166.89,2977177.29493248,0.0
3,2026,713994,2190881.44,1876706.21,3023902.6072616987,0.0
4,2027,1045286,2521485.3700000006,2443838.3299999996,3107578.5895094937,3191997.0
5,2028,8137235,2578740.2100000004,2400556.32,3173618.305222029,2659993.6
6,2029,9338103,2620472.0199999996,2242089.2300000004,3253256.1987701426,422545.5
7,2030,1243563,2918916.9599999995,2810574.75,3301400.0505610094,1586997.0
8,2031,6772914,2989525.3900000006,2775488.81,3106939.853506159,1662033.0
9,2032,8669704,3048366.5200000005,2591248.61,2978356.247299056,2840301.5
10,2033,10319848,3008053.78,2246284.849999999,2883355.925046065,3872688.8
11,2034,11986096,3074659.95,2104050.5700000003,2693158.3525253274,3787440.3000000003
12,2035,11033127,3178819.9500000007,2084817.99,2562250.3966156454,4129673.6
13,2036,9229717,3358937.1500000004,2315834.26,2471278.899812337,4302322.8
14,2037,9575076,3522888.8900000006,2522470.84,2385118.282763935,5875197.0
15,2038,13256371,3596143.8000000007,2483711.0700000008,2266102.8803169117,11225012.5
